"","FullN.notRedun","SubProp.notRedun","SubN.notRedun","Denhat","Denhat.SE","g0","g0.bTRUE","sigma","trial","model","size","fullN","whichSource","sim"
"1",507,2.028,507,404.018430548541,63.7568143459741,-2.413834342755,3.04047982876887,1.55440641755867,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10002.rds"
"2",507,2.028,507,404.018567919385,63.7568401773058,-2.41383622578249,3.0404903915936,1.55440640614085,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10003.rds"
"3",507,2.028,507,404.018441869168,63.7568157849108,-2.41383438325927,3.04047875132595,1.55440639616615,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10004.rds"
"4",507,2.028,507,404.018113147835,63.7567649621349,-2.41383437472517,3.04048279980898,1.55440722558495,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10005.rds"
"5",507,2.028,507,404.018479949167,63.7568214551122,-2.41383427769398,3.04047845446413,1.55440628108078,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10007.rds"
"6",507,2.028,507,404.018434144105,63.7568145182448,-2.41383437043213,3.04047889819213,1.55440641340588,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10009.rds"
"7",507,2.028,507,404.018033885118,63.7567483143286,-2.41383263679798,3.04047262171671,1.55440711599583,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10010.rds"
"8",507,2.028,507,404.018477692809,63.7568217488778,-2.41383433866803,3.04048009924304,1.55440629765876,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10011.rds"
"9",507,2.028,507,404.018422256942,63.7568127491243,-2.41383482682729,3.04047897096253,1.55440652484968,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10012.rds"
"10",507,2.028,507,404.018488333702,63.7568232574441,-2.41383309733133,3.04047990091765,1.55440604937548,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10014.rds"
"11",507,2.028,507,404.018502866832,63.756824793335,-2.41383360690614,3.04047766580861,1.55440610351846,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10015.rds"
"12",507,2.028,507,404.018453753874,63.7568177255417,-2.41383471831367,3.04047923811933,1.55440642587911,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10017.rds"
"13",507,2.028,507,404.018343016382,63.756800465509,-2.41383423968554,3.04048023259558,1.5544066204402,"t1","g0 tilde bk","250",1019,"EmpData","EmpData/t1/g0 tilde bk/250/Full10018.rds"
